"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"August 21, 2016",Louisiana,"New Orleans","Law and New Orleans Streets",1,1,N/A
"August 18, 2016",California,Porterville,"Olive and H Street",0,2,N/A
"August 16, 2016",Illinois,"Chicago (Roseland)","600 block of East 100th Place",0,1,N/A
"August 14, 2016","South Dakota",Aberdeen,"324 Marshall Street",0,2,N/A
"August 14, 2016",Georgia,Marietta,"720 Franklin Gateway",0,2,N/A
"August 12, 2016",Missouri,"Doe Run","Corcoran Road",0,1,N/A
"August 11, 2016",Missouri,"Saint Ann","Lucas and Hunt Road and West Florissant Avenue",0,1,N/A
"August 11, 2016",Illinois,"Winnebago (county)","Sunset Avenue and Auburn Street",0,1,N/A
"August 10, 2016",Arkansas,"Sebastian (county)","4722 Highway 253",1,2,N/A
"August 9, 2016",Maryland,Towson,"2001 Dulaney Valley Road",0,1,N/A
"August 8, 2016",Oregon,Gladstone,"SE McLoughlin Boulevard",0,2,N/A
"August 8, 2016",Minnesota,Fosston,"32658 Us Highway 2 SE",0,1,N/A
"August 6, 2016",Utah,"Salt Lake City","1300 N. Mandalay Road (1910 West)",0,1,N/A
"August 2, 2016",California,"Los Angeles (Hollywood)","5451 Sunset Boulevard",0,2,N/A
"July 31, 2016",Illinois,Carbondale,"700 block of N Robert A. Stalls St",0,1,N/A
"July 29, 2016",Indiana,Indianapolis,"6800 block of Valley Brook Way",0,1,N/A
"July 28, 2016",California,"San Diego","3800 block of Boston Avenue",1,2,N/A
"July 25, 2016",California,"Los Angeles (Watts)","East 11th Street and Antwerp Street",1,1,N/A
"July 25, 2016",Indiana,Indianapolis,"71st Street and Georgetown Road",1,1,N/A
"July 23, 2016",Arizona,Phoenix,"5154 N 27th Avenue",1,1,N/A
"July 21, 2016",Illinois,Chicago,"Calumet Avenue and East 18th Street",1,1,N/A
"July 17, 2016",Wisconsin,Milwaukee,"3500 block of South 17th Street",1,1,N/A
"July 17, 2016",Louisiana,"Baton Rouge","9611 Airline Highway",4,3,N/A
"July 16, 2016",Indiana,Indianapolis,"8700 block of Carver Drive",0,1,N/A
"July 14, 2016",Virginia,Norfolk,"811 E City Hall Ave",0,1,N/A
"July 14, 2016",Indiana,Marion,"2006 block of South Western Avenue",1,1,N/A
"July 13, 2016",Missouri,"Saint Louis","3000 block of Miami St",2,2,N/A
"July 11, 2016",Michigan,"Saint Joseph","811 Port Street",3,2,N/A
"July 10, 2016",Oklahoma,Cache,"Shady Lane Drive",0,1,N/A
"July 9, 2016",Alabama,Wedowee,"300 block of County Road 7",1,1,N/A
"July 8, 2016",Georgia,Valdosta,"3833 North Oak Street Extension",0,2,N/A
"July 8, 2016",Missouri,Ballwin,"300 block of New Ballwin Road",0,1,N/A
"July 7, 2016",Tennessee,Bristol,"536 Volunteer Parkway",1,4,N/A
"July 7, 2016",Texas,Dallas,"800 Main Street",5,9,N/A
"July 7, 2016",Alabama,Selma,"700 block of King Street",1,2,N/A